,iso2,year,cases,sex,age
86,AR,1998,84.0,m,0-14
87,AR,1999,90.0,m,0-14
88,AR,2000,97.0,m,0-14
89,AR,2001,78.0,m,0-14
90,AR,2002,70.0,m,0-14
91,AR,2003,89.0,m,0-14
92,AR,2004,64.0,m,0-14
93,AR,2005,64.0,m,0-14
94,AR,2006,67.0,m,0-14
95,AR,2007,77.0,m,0-14
96,AR,2008,69.0,m,0-14
97,AS,1997,1.0,m,0-14
98,AT,1995,4.0,m,0-14
99,AT,1997,24.0,m,0-14
100,AT,1999,0.0,m,0-14
101,AT,2000,1.0,m,0-14
102,AT,2001,1.0,m,0-14
103,AT,2002,1.0,m,0-14
104,AT,2003,0.0,m,0-14
105,AT,2004,1.0,m,0-14
106,AT,2005,1.0,m,0-14
107,AT,2006,1.0,m,0-14
108,AT,2007,1.0,m,0-14
109,AU,1997,1.0,m,0-14
110,AU,1998,0.0,m,0-14
111,AU,1999,0.0,m,0-14
112,AU,2000,3.0,m,0-14
113,AU,2001,1.0,m,0-14
114,AU,2002,1.0,m,0-14
115,AU,2003,0.0,m,0-14
116,AU,2004,0.0,m,0-14
117,AU,2005,0.0,m,0-14
118,AU,2006,1.0,m,0-14
119,AU,2007,3.0,m,0-14
120,AU,2008,2.0,m,0-14
121,AZ,1995,0.0,m,0-14
122,AZ,1996,0.0,m,0-14
123,AZ,1997,0.0,m,0-14
124,AZ,1998,0.0,m,0-14
125,AZ,1999,0.0,m,0-14
126,AZ,2000,0.0,m,0-14
127,AZ,2002,6.0,m,0-14
128,AZ,2003,3.0,m,0-14
129,AZ,2004,8.0,m,0-14
130,AZ,2005,77.0,m,0-14
131,AZ,2006,6.0,m,0-14
132,BA,1995,0.0,m,0-14
133,BA,1996,5.0,m,0-14
134,BA,1997,5.0,m,0-14
135,BA,1998,1.0,m,0-14
136,BA,1999,2.0,m,0-14
137,BA,2000,4.0,m,0-14
138,BA,2001,6.0,m,0-14
139,BA,2002,1.0,m,0-14
140,BA,2003,4.0,m,0-14
141,BA,2004,3.0,m,0-14
142,BA,2005,1.0,m,0-14
143,BA,2006,0.0,m,0-14
144,BA,2007,0.0,m,0-14
145,BA,2008,0.0,m,0-14
146,BB,2000,0.0,m,0-14
147,BB,2001,0.0,m,0-14
148,BB,2007,0.0,m,0-14
149,BB,2008,0.0,m,0-14
150,BD,1995,29.0,m,0-14
151,BD,1996,45.0,m,0-14
152,BD,1997,201.0,m,0-14
153,BD,1998,254.0,m,0-14
154,BD,1999,259.0,m,0-14
155,BD,2000,256.0,m,0-14
156,BD,2001,283.0,m,0-14
157,BD,2002,449.0,m,0-14
158,BD,2003,320.0,m,0-14
159,BD,2004,420.0,m,0-14
160,BD,2005,524.0,m,0-14
161,BD,2006,607.0,m,0-14
162,BD,2007,523.0,m,0-14
163,BD,2008,422.0,m,0-14
164,BE,1995,3.0,m,0-14
165,BE,1996,1.0,m,0-14
166,BE,1997,3.0,m,0-14
167,BE,1998,3.0,m,0-14
168,BE,1999,2.0,m,0-14
169,BE,2000,3.0,m,0-14
170,BE,2001,8.0,m,0-14
171,BE,2002,1.0,m,0-14
172,BE,2003,6.0,m,0-14
173,BE,2004,1.0,m,0-14
174,BE,2005,1.0,m,0-14
175,BE,2006,4.0,m,0-14
176,BE,2007,2.0,m,0-14
177,BE,2008,3.0,m,0-14
178,BF,1995,4.0,m,0-14
179,BF,1996,3.0,m,0-14
180,BF,1997,3.0,m,0-14
181,BF,1998,4.0,m,0-14
182,BF,1999,13.0,m,0-14
183,BF,2000,12.0,m,0-14
184,BF,2001,7.0,m,0-14
185,BF,2002,6.0,m,0-14
186,BF,2003,14.0,m,0-14
187,BF,2004,10.0,m,0-14
188,BF,2005,18.0,m,0-14
189,BF,2006,13.0,m,0-14
190,BF,2007,8.0,m,0-14
191,BF,2008,8.0,m,0-14
192,BG,2000,0.0,m,0-14
193,BG,2001,1.0,m,0-14
194,BG,2002,2.0,m,0-14
195,BG,2003,3.0,m,0-14
196,BG,2004,10.0,m,0-14
197,BG,2005,9.0,m,0-14
198,BG,2006,6.0,m,0-14
199,BG,2007,7.0,m,0-14
200,BG,2008,2.0,m,0-14
201,BH,1995,0.0,m,0-14
202,BH,1996,0.0,m,0-14
203,BH,1997,1.0,m,0-14
204,BH,1998,0.0,m,0-14
205,BH,1999,0.0,m,0-14
206,BH,2000,0.0,m,0-14
207,BH,2001,0.0,m,0-14
208,BH,2002,0.0,m,0-14
209,BH,2003,0.0,m,0-14
210,BH,2004,0.0,m,0-14
211,BH,2005,0.0,m,0-14
212,BH,2006,0.0,m,0-14
213,BH,2007,0.0,m,0-14
214,BH,2008,0.0,m,0-14
215,BI,1995,5.0,m,0-14
216,BI,1996,16.0,m,0-14
217,BI,1997,21.0,m,0-14
218,BI,1998,45.0,m,0-14
219,BI,1999,64.0,m,0-14
220,BI,2001,34.0,m,0-14
221,BI,2002,16.0,m,0-14
222,BI,2003,32.0,m,0-14
223,BI,2004,24.0,m,0-14
224,BI,2005,34.0,m,0-14
225,BI,2006,30.0,m,0-14
226,BI,2007,26.0,m,0-14
227,BI,2008,30.0,m,0-14
228,BJ,1995,14.0,m,0-14
229,BJ,1996,17.0,m,0-14
230,BJ,1997,20.0,m,0-14
231,BJ,1998,20.0,m,0-14
232,BJ,1999,14.0,m,0-14
233,BJ,2000,19.0,m,0-14
234,BJ,2002,16.0,m,0-14
235,BJ,2003,20.0,m,0-14
236,BJ,2004,16.0,m,0-14
237,BJ,2005,21.0,m,0-14
238,BJ,2006,18.0,m,0-14
239,BJ,2008,20.0,m,0-14
240,BM,2004,0.0,m,0-14
241,BN,1999,0.0,m,0-14
242,BN,2000,0.0,m,0-14
243,BN,2002,2.0,m,0-14
244,BN,2003,0.0,m,0-14
245,BN,2004,0.0,m,0-14
246,BN,2005,0.0,m,0-14
247,BN,2006,2.0,m,0-14
248,BN,2007,0.0,m,0-14
249,BN,2008,0.0,m,0-14
250,BO,1996,178.0,m,0-14
251,BO,1997,150.0,m,0-14
252,BO,1998,167.0,m,0-14
253,BO,1999,222.0,m,0-14
254,BO,2000,166.0,m,0-14
255,BO,2001,165.0,m,0-14
256,BO,2002,231.0,m,0-14
257,BO,2003,156.0,m,0-14
258,BO,2004,161.0,m,0-14
259,BO,2005,157.0,m,0-14
260,BO,2006,127.0,m,0-14
261,BO,2007,116.0,m,0-14
262,BO,2008,128.0,m,0-14
263,BR,1999,301.0,m,0-14
264,BR,2000,1894.0,m,0-14
265,BR,2001,468.0,m,0-14
266,BR,2002,344.0,m,0-14
267,BR,2003,382.0,m,0-14
268,BR,2004,337.0,m,0-14
269,BR,2005,317.0,m,0-14
270,BR,2006,343.0,m,0-14
271,BR,2007,371.0,m,0-14
272,BR,2008,298.0,m,0-14
273,BS,1995,3.0,m,0-14
274,BS,1996,0.0,m,0-14
275,BS,1997,0.0,m,0-14
276,BS,1998,0.0,m,0-14
277,BS,1999,1.0,m,0-14
278,BS,2000,1.0,m,0-14
279,BS,2002,2.0,m,0-14
280,BS,2003,0.0,m,0-14
281,BS,2004,3.0,m,0-14
282,BS,2007,0.0,m,0-14
283,BS,2008,0.0,m,0-14
284,BT,1995,2.0,m,0-14
285,BT,1996,4.0,m,0-14
286,BT,1997,4.0,m,0-14
287,BT,1998,3.0,m,0-14
288,BT,1999,10.0,m,0-14
289,BT,2000,6.0,m,0-14
290,BT,2001,3.0,m,0-14
291,BT,2002,5.0,m,0-14
292,BT,2003,9.0,m,0-14
293,BT,2004,1.0,m,0-14
294,BT,2005,1.0,m,0-14
295,BT,2006,0.0,m,0-14
296,BT,2007,2.0,m,0-14
297,BT,2008,3.0,m,0-14
298,BW,1997,29.0,m,0-14
299,BW,1999,18.0,m,0-14
300,BW,2000,25.0,m,0-14
301,BW,2001,15.0,m,0-14
302,BW,2002,17.0,m,0-14
303,BW,2003,22.0,m,0-14
304,BW,2004,29.0,m,0-14
305,BW,2005,27.0,m,0-14
306,BW,2006,36.0,m,0-14
307,BW,2007,25.0,m,0-14
308,BW,2008,27.0,m,0-14
309,BY,2002,0.0,m,0-14
310,BY,2003,0.0,m,0-14
311,BZ,1995,1.0,m,0-14
312,BZ,1996,1.0,m,0-14
313,BZ,1997,2.0,m,0-14
314,BZ,2000,2.0,m,0-14
315,BZ,2001,0.0,m,0-14
316,BZ,2002,4.0,m,0-14
317,BZ,2003,1.0,m,0-14
318,BZ,2004,0.0,m,0-14
319,BZ,2005,0.0,m,0-14
320,BZ,2006,3.0,m,0-14
321,BZ,2007,1.0,m,0-14
322,BZ,2008,1.0,m,0-14
323,CA,1980,12.0,m,0-14
324,CA,1981,8.0,m,0-14
325,CA,1982,6.0,m,0-14
326,CA,1983,9.0,m,0-14
327,CA,1984,3.0,m,0-14
328,CA,1985,11.0,m,0-14
329,CA,1986,9.0,m,0-14
330,CA,1987,9.0,m,0-14
331,CA,1988,4.0,m,0-14
332,CA,1989,10.0,m,0-14
333,CA,1990,3.0,m,0-14
334,CA,1991,7.0,m,0-14
335,CA,1992,6.0,m,0-14
336,CA,1993,8.0,m,0-14
337,CA,1994,2.0,m,0-14
338,CA,1995,1.0,m,0-14
339,CA,1996,3.0,m,0-14
340,CA,1997,0.0,m,0-14
341,CA,1998,4.0,m,0-14
342,CA,1999,0.0,m,0-14
343,CA,2000,5.0,m,0-14
344,CA,2001,6.0,m,0-14
345,CA,2002,0.0,m,0-14
346,CA,2003,1.0,m,0-14
347,CA,2004,2.0,m,0-14
348,CA,2005,3.0,m,0-14
349,CA,2006,2.0,m,0-14
350,CA,2007,5.0,m,0-14
351,CA,2008,2.0,m,0-14
352,CD,1995,373.0,m,0-14
353,CD,1996,228.0,m,0-14
354,CD,1997,259.0,m,0-14
355,CD,1998,455.0,m,0-14
356,CD,1999,474.0,m,0-14
357,CD,2000,485.0,m,0-14
358,CD,2001,581.0,m,0-14
359,CD,2002,649.0,m,0-14
360,CD,2003,854.0,m,0-14
361,CD,2004,1195.0,m,0-14
362,CD,2005,1321.0,m,0-14
363,CD,2006,1122.0,m,0-14
364,CD,2007,1343.0,m,0-14
365,CD,2008,1515.0,m,0-14
366,CF,1995,38.0,m,0-14
367,CF,1996,46.0,m,0-14
368,CF,1997,54.0,m,0-14
369,CF,1998,28.0,m,0-14
370,CF,1999,28.0,m,0-14
371,CF,2001,15.0,m,0-14
372,CF,2002,76.0,m,0-14
373,CF,2004,12.0,m,0-14
374,CF,2005,29.0,m,0-14
375,CF,2006,48.0,m,0-14
376,CF,2008,68.0,m,0-14
377,CG,1995,16.0,m,0-14
378,CG,1999,17.0,m,0-14
379,CG,2001,31.0,m,0-14
380,CG,2004,9.0,m,0-14
381,CG,2006,32.0,m,0-14
382,CG,2007,28.0,m,0-14
383,CG,2008,31.0,m,0-14
384,CH,1995,0.0,m,0-14
385,CH,1996,1.0,m,0-14
386,CH,1997,0.0,m,0-14
387,CH,1998,0.0,m,0-14
388,CH,1999,1.0,m,0-14
389,CH,2000,0.0,m,0-14
390,CH,2001,0.0,m,0-14
391,CH,2002,0.0,m,0-14
392,CH,2003,0.0,m,0-14
393,CH,2004,0.0,m,0-14
394,CH,2005,1.0,m,0-14
395,CH,2006,1.0,m,0-14
396,CH,2007,0.0,m,0-14
397,CH,2008,0.0,m,0-14
398,CI,1995,41.0,m,0-14
399,CI,1996,118.0,m,0-14
400,CI,1997,87.0,m,0-14
401,CI,1998,72.0,m,0-14
402,CI,1999,98.0,m,0-14
403,CI,2001,108.0,m,0-14
404,CI,2002,102.0,m,0-14
405,CI,2003,116.0,m,0-14
406,CI,2004,114.0,m,0-14
407,CI,2005,128.0,m,0-14
408,CI,2006,171.0,m,0-14
409,CI,2007,173.0,m,0-14
410,CI,2008,261.0,m,0-14
411,CK,1980,0.0,m,0-14
412,CK,1981,0.0,m,0-14
413,CK,1982,0.0,m,0-14
414,CK,1983,0.0,m,0-14
415,CK,1984,0.0,m,0-14
416,CK,1985,1.0,m,0-14
417,CK,1986,0.0,m,0-14
418,CK,1987,0.0,m,0-14
419,CK,1989,0.0,m,0-14
420,CK,1991,0.0,m,0-14
421,CK,1992,0.0,m,0-14
422,CK,1993,0.0,m,0-14
423,CK,1994,0.0,m,0-14
424,CK,1995,0.0,m,0-14
425,CK,1996,0.0,m,0-14
426,CK,1997,0.0,m,0-14
427,CK,1998,0.0,m,0-14
428,CK,2000,0.0,m,0-14
429,CK,2001,0.0,m,0-14
430,CK,2002,0.0,m,0-14
431,CK,2003,0.0,m,0-14
432,CK,2004,0.0,m,0-14
433,CK,2005,0.0,m,0-14
434,CK,2006,0.0,m,0-14
435,CL,1995,24.0,m,0-14
436,CL,1996,8.0,m,0-14
437,CL,1997,11.0,m,0-14
438,CL,1999,4.0,m,0-14
439,CL,2000,6.0,m,0-14
440,CL,2001,2.0,m,0-14
441,CL,2002,6.0,m,0-14
442,CL,2003,1.0,m,0-14
443,CL,2004,3.0,m,0-14
444,CL,2005,3.0,m,0-14
445,CL,2006,12.0,m,0-14
446,CL,2007,3.0,m,0-14
447,CL,2008,7.0,m,0-14
448,CM,1995,20.0,m,0-14
449,CM,1996,34.0,m,0-14
450,CM,1997,36.0,m,0-14
451,CM,1998,15.0,m,0-14
452,CM,1999,49.0,m,0-14
453,CM,2000,41.0,m,0-14
454,CM,2001,24.0,m,0-14
455,CM,2002,66.0,m,0-14
456,CM,2003,100.0,m,0-14
457,CM,2004,127.0,m,0-14
458,CM,2005,134.0,m,0-14
459,CM,2006,112.0,m,0-14
460,CM,2007,121.0,m,0-14
461,CM,2008,108.0,m,0-14
462,CN,1995,1102.0,m,0-14
463,CN,1996,1409.0,m,0-14
464,CN,1997,1456.0,m,0-14
465,CN,1998,1481.0,m,0-14
466,CN,1999,1247.0,m,0-14
467,CN,2000,1131.0,m,0-14
468,CN,2001,1213.0,m,0-14
469,CN,2002,925.0,m,0-14
470,CN,2003,1133.0,m,0-14
471,CN,2004,1375.0,m,0-14
472,CN,2005,1416.0,m,0-14
473,CN,2006,1023.0,m,0-14
474,CN,2007,878.0,m,0-14
475,CN,2008,751.0,m,0-14
476,CO,2000,246.0,m,0-14
477,CO,2001,223.0,m,0-14
478,CO,2002,209.0,m,0-14
479,CO,2003,237.0,m,0-14
480,CO,2004,208.0,m,0-14
481,CO,2005,178.0,m,0-14
482,CO,2006,219.0,m,0-14
483,CO,2007,144.0,m,0-14
484,CO,2008,136.0,m,0-14
485,CR,1995,1.0,m,0-14
486,CR,1996,0.0,m,0-14
487,CR,1997,37.0,m,0-14
488,CR,1998,30.0,m,0-14
489,CR,1999,4.0,m,0-14
490,CR,2000,14.0,m,0-14
491,CR,2001,2.0,m,0-14
492,CR,2002,3.0,m,0-14
493,CR,2003,3.0,m,0-14
494,CR,2004,1.0,m,0-14
495,CR,2005,1.0,m,0-14
496,CR,2006,1.0,m,0-14
497,CR,2007,4.0,m,0-14
498,CR,2008,3.0,m,0-14
499,CU,1995,2.0,m,0-14
500,CU,1996,0.0,m,0-14
501,CU,1997,0.0,m,0-14
502,CU,1998,0.0,m,0-14
503,CU,1999,1.0,m,0-14
504,CU,2000,0.0,m,0-14
505,CU,2001,0.0,m,0-14
506,CU,2002,0.0,m,0-14
507,CU,2003,2.0,m,0-14
508,CU,2004,0.0,m,0-14
509,CU,2005,2.0,m,0-14
510,CU,2008,2.0,m,0-14
511,CV,1997,0.0,m,0-14
512,CV,1998,2.0,m,0-14
513,CV,2001,0.0,m,0-14
514,CV,2002,3.0,m,0-14
515,CV,2003,3.0,m,0-14
516,CV,2004,1.0,m,0-14
517,CV,2005,0.0,m,0-14
518,CV,2006,2.0,m,0-14
519,CV,2007,0.0,m,0-14
520,CV,2008,0.0,m,0-14
521,CY,1995,0.0,m,0-14
522,CY,1996,0.0,m,0-14
523,CY,1998,0.0,m,0-14
524,CY,1999,5.0,m,0-14
525,CY,2002,0.0,m,0-14
526,CY,2003,0.0,m,0-14
527,CY,2004,0.0,m,0-14
528,CY,2005,0.0,m,0-14
529,CY,2006,0.0,m,0-14
530,CY,2007,0.0,m,0-14
531,CY,2008,0.0,m,0-14
532,CZ,1995,2.0,m,0-14
533,CZ,1996,1.0,m,0-14
534,CZ,1997,0.0,m,0-14
535,CZ,1998,0.0,m,0-14
536,CZ,1999,2.0,m,0-14
537,CZ,2000,0.0,m,0-14
538,CZ,2001,0.0,m,0-14
539,CZ,2002,0.0,m,0-14
540,CZ,2003,0.0,m,0-14
541,CZ,2004,0.0,m,0-14
542,CZ,2005,0.0,m,0-14
543,CZ,2006,0.0,m,0-14
544,CZ,2007,0.0,m,0-14
545,CZ,2008,0.0,m,0-14
546,DE,1995,14.0,m,0-14
547,DE,1996,20.0,m,0-14
548,DE,1997,11.0,m,0-14
549,DE,1998,9.0,m,0-14
550,DE,1999,13.0,m,0-14
551,DE,2001,3.0,m,0-14
552,DE,2002,3.0,m,0-14
553,DE,2003,2.0,m,0-14
554,DE,2004,5.0,m,0-14
555,DE,2005,6.0,m,0-14
556,DE,2006,2.0,m,0-14
557,DE,2007,2.0,m,0-14
558,DE,2008,2.0,m,0-14
559,DJ,1996,30.0,m,0-14
560,DJ,1997,52.0,m,0-14
561,DJ,1998,23.0,m,0-14
562,DJ,1999,25.0,m,0-14
563,DJ,2000,17.0,m,0-14
564,DJ,2001,17.0,m,0-14
565,DJ,2002,20.0,m,0-14
566,DJ,2003,10.0,m,0-14
567,DJ,2004,19.0,m,0-14
568,DJ,2005,18.0,m,0-14
569,DJ,2006,14.0,m,0-14
570,DJ,2007,14.0,m,0-14
571,DJ,2008,17.0,m,0-14
572,DK,1995,0.0,m,0-14
573,DK,1996,0.0,m,0-14
574,DK,1997,1.0,m,0-14
575,DK,1998,0.0,m,0-14
576,DK,1999,4.0,m,0-14
577,DK,2000,5.0,m,0-14
578,DK,2001,1.0,m,0-14
579,DK,2002,2.0,m,0-14
580,DK,2003,3.0,m,0-14
581,DK,2004,1.0,m,0-14
582,DK,2005,0.0,m,0-14
583,DK,2006,0.0,m,0-14
584,DK,2007,0.0,m,0-14
585,DK,2008,0.0,m,0-14
586,DM,1996,0.0,m,0-14
587,DM,1997,0.0,m,0-14
588,DM,1998,0.0,m,0-14
589,DM,2006,0.0,m,0-14
590,DM,2007,0.0,m,0-14
591,DM,2008,0.0,m,0-14
592,DO,1996,17.0,m,0-14
593,DO,1997,76.0,m,0-14
594,DO,1998,62.0,m,0-14
595,DO,1999,90.0,m,0-14
596,DO,2000,73.0,m,0-14
597,DO,2002,39.0,m,0-14
598,DO,2003,52.0,m,0-14
599,DO,2004,45.0,m,0-14
600,DO,2005,43.0,m,0-14
601,DO,2006,25.0,m,0-14
602,DO,2007,23.0,m,0-14
603,DO,2008,16.0,m,0-14
604,DZ,1997,659.0,m,0-14
605,DZ,1999,40.0,m,0-14
606,DZ,2000,59.0,m,0-14
607,DZ,2001,41.0,m,0-14
608,DZ,2002,39.0,m,0-14
609,DZ,2003,40.0,m,0-14
610,DZ,2004,63.0,m,0-14
611,DZ,2005,53.0,m,0-14
612,DZ,2006,41.0,m,0-14
613,DZ,2007,95.0,m,0-14
614,DZ,2008,99.0,m,0-14
615,EC,2001,39.0,m,0-14
616,EC,2003,18.0,m,0-14
617,EC,2004,84.0,m,0-14
618,EC,2005,48.0,m,0-14
619,EC,2006,32.0,m,0-14
620,EC,2007,42.0,m,0-14
621,EC,2008,32.0,m,0-14
622,EE,1996,1.0,m,0-14
623,EE,1997,0.0,m,0-14
624,EE,1998,0.0,m,0-14
625,EE,1999,0.0,m,0-14
626,EE,2000,0.0,m,0-14
627,EE,2001,0.0,m,0-14
628,EE,2002,0.0,m,0-14
629,EE,2003,0.0,m,0-14
630,EE,2004,0.0,m,0-14
631,EE,2005,0.0,m,0-14
632,EE,2006,0.0,m,0-14
633,EE,2007,0.0,m,0-14
634,EE,2008,0.0,m,0-14
635,EG,1995,223.0,m,0-14
636,EG,1996,58.0,m,0-14
637,EG,1997,50.0,m,0-14
638,EG,1998,45.0,m,0-14
639,EG,1999,31.0,m,0-14
640,EG,2000,21.0,m,0-14
641,EG,2001,34.0,m,0-14
642,EG,2002,39.0,m,0-14
643,EG,2003,42.0,m,0-14
644,EG,2004,14.0,m,0-14
645,EG,2005,25.0,m,0-14
646,EG,2006,54.0,m,0-14
647,EG,2007,35.0,m,0-14
648,EG,2008,13.0,m,0-14
649,ER,1997,0.0,m,0-14
650,ER,1998,4.0,m,0-14
651,ER,1999,3.0,m,0-14
652,ER,2000,9.0,m,0-14
653,ER,2001,5.0,m,0-14
654,ER,2002,16.0,m,0-14
655,ER,2003,17.0,m,0-14
656,ER,2004,14.0,m,0-14
657,ER,2005,9.0,m,0-14
658,ER,2006,6.0,m,0-14
659,ER,2007,21.0,m,0-14
660,ES,1995,22.0,m,0-14
661,ES,1998,25.0,m,0-14
662,ES,2001,13.0,m,0-14
663,ES,2002,22.0,m,0-14
664,ES,2003,7.0,m,0-14
665,ES,2004,14.0,m,0-14
666,ES,2005,13.0,m,0-14
667,ES,2006,18.0,m,0-14
668,ES,2007,10.0,m,0-14
669,ES,2008,18.0,m,0-14
670,ET,1995,247.0,m,0-14
671,ET,1996,302.0,m,0-14
672,ET,1997,579.0,m,0-14
673,ET,1998,715.0,m,0-14
674,ET,1999,692.0,m,0-14
675,ET,2000,915.0,m,0-14
676,ET,2001,913.0,m,0-14
677,ET,2002,1251.0,m,0-14
678,ET,2003,1110.0,m,0-14
679,ET,2004,1160.0,m,0-14
680,ET,2005,1109.0,m,0-14
681,ET,2006,978.0,m,0-14
682,ET,2007,1055.0,m,0-14
683,ET,2008,978.0,m,0-14
684,FI,1995,1.0,m,0-14
685,FI,1996,0.0,m,0-14
686,FI,1997,0.0,m,0-14
687,FI,1998,0.0,m,0-14
688,FI,2000,0.0,m,0-14
689,FI,2001,0.0,m,0-14
690,FI,2002,0.0,m,0-14
691,FI,2003,0.0,m,0-14
692,FI,2004,0.0,m,0-14
693,FI,2005,1.0,m,0-14
694,FI,2006,0.0,m,0-14
695,FI,2007,0.0,m,0-14
696,FI,2008,0.0,m,0-14
697,FJ,1994,2.0,m,0-14
698,FJ,1995,0.0,m,0-14
699,FJ,1996,1.0,m,0-14
700,FJ,1997,1.0,m,0-14
701,FJ,1998,0.0,m,0-14
702,FJ,1999,1.0,m,0-14
703,FJ,2000,0.0,m,0-14
704,FJ,2001,0.0,m,0-14
705,FJ,2002,1.0,m,0-14
706,FJ,2003,2.0,m,0-14
707,FJ,2004,0.0,m,0-14
708,FJ,2005,7.0,m,0-14
709,FJ,2006,0.0,m,0-14
710,FJ,2007,1.0,m,0-14
711,FM,1995,0.0,m,0-14
712,FM,1996,0.0,m,0-14
713,FM,1997,0.0,m,0-14
714,FM,1998,4.0,m,0-14
715,FM,2000,0.0,m,0-14
716,FM,2001,0.0,m,0-14
717,FM,2002,2.0,m,0-14
718,FM,2003,0.0,m,0-14
719,FM,2004,0.0,m,0-14
720,FM,2006,14.0,m,0-14
721,FM,2007,1.0,m,0-14
722,FM,2008,1.0,m,0-14
723,FR,1995,30.0,m,0-14
724,FR,1996,36.0,m,0-14
725,FR,1997,24.0,m,0-14
726,FR,1999,13.0,m,0-14
727,FR,2000,10.0,m,0-14
728,FR,2001,10.0,m,0-14
729,FR,2002,24.0,m,0-14
730,FR,2003,18.0,m,0-14
731,FR,2004,13.0,m,0-14
732,FR,2005,12.0,m,0-14
733,FR,2006,17.0,m,0-14
734,FR,2007,17.0,m,0-14
735,FR,2008,10.0,m,0-14
736,GA,1995,3.0,m,0-14
737,GA,1996,0.0,m,0-14
738,GA,1998,14.0,m,0-14
739,GA,1999,14.0,m,0-14
740,GA,2001,21.0,m,0-14
741,GA,2002,10.0,m,0-14
742,GA,2003,14.0,m,0-14
743,GA,2004,17.0,m,0-14
744,GA,2005,13.0,m,0-14
745,GA,2006,20.0,m,0-14
746,GA,2008,14.0,m,0-14
747,GB,1997,2.0,m,0-14
748,GB,1998,11.0,m,0-14
749,GB,1999,8.0,m,0-14
750,GB,2000,8.0,m,0-14
751,GB,2001,10.0,m,0-14
752,GB,2002,6.0,m,0-14
753,GB,2003,13.0,m,0-14
754,GB,2004,10.0,m,0-14
755,GB,2005,9.0,m,0-14
756,GB,2006,9.0,m,0-14
757,GB,2007,13.0,m,0-14
758,GB,2008,5.0,m,0-14
759,GD,1997,0.0,m,0-14
760,GD,1999,0.0,m,0-14
761,GD,2006,0.0,m,0-14
762,GE,1995,2.0,m,0-14
763,GE,1996,4.0,m,0-14
764,GE,1997,0.0,m,0-14
765,GE,1998,4.0,m,0-14
766,GE,1999,5.0,m,0-14
767,GE,2000,4.0,m,0-14
768,GE,2001,4.0,m,0-14
769,GE,2002,1.0,m,0-14
